station,lat,lng
4.19민주묘지,37.6495307746374,127.01369763482
가능,37.7483963196456,127.044288264841
가락시장,37.4930992522183,127.118262745146
가산디지털단지,37.4803959660982,126.882661758356
가양,37.56143311719883,126.85442142615852
가오리,37.6415440572233,127.01676896839822
가좌,37.5687541714336,126.914824171209
가천대,37.44856169280611,127.1266967573021
가평,37.8145200514507,127.51073942455
간석,37.46470628162983,126.69351903231802
갈매,37.6340689252244,127.114760741021
강남,37.49808633653005,127.02800140627488
강남구청,37.51721617197854,127.0413109462156
강동,37.5358819145235,127.132396300314
강동구청,37.5302111983522,127.12044373032
강매,37.6122904718741,126.84449823065067
강변(동서울터미널),37.5351180385975,127.094741101863
강일,37.5574259795986,127.175680183486
강촌,37.805721704842,127.634151572422
개롱,37.497968278388235,127.13507959838425
개봉,37.4946417150651,126.858715959622
개포동,37.4891394691891,127.066120707828
개화,37.5783445148797,126.796891362602
개화산,37.5725371505293,126.806814314979
거여,37.4933304500736,127.143773841911
건대입구,37.54040751726388,127.06920291650829
검암,37.56925281871912,126.67364220875055
경기광주,37.3989438131636,127.253282668137
경마공원,37.4439629881231,127.007838042533
경복궁(정부서울청사),37.5758061234865,126.973691352767
경찰병원,37.4960049150853,127.124482397777
계양,37.57177084709832,126.73627367694554
고덕,37.55504766830918,127.15416500963447
고려대(종암),37.59044191064368,127.03630828564728
고색,37.2497717717764,126.980572516343
고속터미널,37.50454885557265,127.00512100872538
고잔,37.3167693077138,126.82359875532677
곡산,37.64607886227099,126.80160321314327
곤지암,37.3505395429634,127.346251343712
공덕,37.5445416897534,126.951451177648
공릉(서울과학기술대),37.6255427648558,127.073033585328
공항시장,37.56368922800772,126.81060964296609
공항화물청사,37.4590625046021,126.47751440637
과천,37.43287530237988,126.99661712263098
관악,37.41956795517324,126.90849999541258
관악산(서울대),37.4690860478461,126.94509952208
광나루(장신대),37.5452991715677,127.103521464507
광명,37.416196233927124,126.88468123606266
광명사거리,37.4792983082726,126.854873735158
광운대,37.6238373628149,127.061695160651
광화문(세종문화회관),37.57164860977568,126.97642427981408
광흥창(서강),37.54748648317645,126.93202965599583
교대(법원.검찰청),37.4927431676548,127.013867969161
구로,37.50334155631282,126.88230806229326
구로디지털단지,37.4852605752505,126.901473080039
구룡,37.4870274262116,127.059492941655
구리,37.603268938528196,127.14335098072823
구반포,37.5014398319603,126.987464905696
구산,37.61124669148435,126.91725947715172
구성,37.298978850791976,127.10569583571818
구의(광진구청),37.5371752725594,127.086180837795
구일,37.496254517687,126.86969110539
구파발,37.6364357889145,126.918852820009
국수,37.5161871164552,127.399309828929
국회의사당,37.5281465047706,126.91783895106
군자(능동),37.557151488837924,127.0795106156054
군포,37.35419227847359,126.948517502286
굴봉산,37.8320661917515,127.557769861431
굽은다리(강동구민회관앞),37.54551759022203,127.14288387331297
금곡,37.6373551430559,127.207533674718
금릉,37.7513389843704,126.765410119425
금정,37.37246820714397,126.94347315682283
금천구청,37.4561943743749,126.893608614581
금촌,37.7661616079929,126.774619832917
금호,37.548260922874086,127.01582916945283
기흥,37.27545287699772,127.11704645705142
길동,37.5378264874159,127.140021295948
길음,37.603394782316634,127.02506019737066
김유정,37.8184490071056,127.714323967766
김포공항,37.56196757232288,126.80191361988808
까치산,37.5322306724471,126.846444264065
까치울,37.506227351130065,126.81133962285816
낙성대(강감찬),37.4770932409965,126.963523905001
남구로,37.48625714438263,126.88741505160269
남동인더스파크,37.4077423820652,126.695227491501
남부터미널(예술의전당),37.4851996335293,127.01620028391
남성,37.484793511299706,126.97091020065321
남영,37.540566672483216,126.97133096608212
남위례,37.4627230752808,127.139350997519
남춘천,37.8640540774308,127.723818912124
남태령,37.4642499558525,126.989085267707
남한산성입구(성남법원.검찰청),37.4516686968693,127.159882577768
내방,37.4876585212369,126.993600180589
노들,37.5126721234205,126.953096069577
노량진,37.5135856714992,126.940893179777
